Magnetic Resonance Imaging Technologists,90890
Emergency Medical Technicians and Paramedics,39350
Dietetic Technicians,35250
Pharmacy Technicians,42610
Psychiatric Technicians,64500
Respiratory Therapy Technicians,48150
Surgical Technologists,60940
Veterinary Technologists and Technicians,41920
Ophthalmic Medical Technicians,41890
Licensed Practical and Licensed Vocational Nurses,56200
Medical Records and Health Information Technicians,51880
"Opticians, Dispensing",42760
Orthotists and Prosthetists,88460
Hearing Aid Specialists,55750
"Health Technologists and Technicians, All Other",50150
Occupational Health and Safety Specialists,88400
Occupational Health and Safety Technicians,60970
Athletic Trainers,58060
Genetic Counselors,89530
"Healthcare Practitioners and Technical Workers, All Other",74900
Healthcare Support Occupations,38390
Home Health Aides,33680
Psychiatric Aides,32660
Nursing Assistants,35220
Orderlies,39410
Occupational Therapy Assistants,67470
Occupational Therapy Aides,35240
Physical Therapist Assistants,64210
Physical Therapist Aides,31090
Massage Therapists,41460
Dental Assistants,41030
Medical Assistants,38250
Medical Equipment Preparers,47430
Medical Transcriptionists,40480
Pharmacy Aides,33730
Veterinary Assistants and Laboratory Animal Caretakers,32480
Phlebotomists,45030
"Healthcare Support Workers, All Other",44820
Protective Service Occupations,61150
First-Line Supervisors of Correctional Officers,100910
First-Line Supervisors of Police and Detectives,154430
First-Line Supervisors of Fire Fighting and Prevention Workers,134870
"First-Line Supervisors of Protective Service Workers, All Other",57600
Firefighters,81580
Fire Inspectors and Investigators,103830
Forest Fire Inspectors and Prevention Specialists,82000
Bailiffs,64010
Correctional Officers and Jailers,75400
Detectives and Criminal Investigators,107120
Fish and Game Wardens,76240
Parking Enforcement Workers,55310
Police and Sheriff's Patrol Officers,101380
Animal Control Workers,54620
Private Detectives and Investigators,67970
Gaming Surveillance Officers and Gaming Investigators,40020
Security Guards,33070
Crossing Guards,37450
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",34430
"Protective Service Workers, All Other",39840
Food Preparation and Serving Related Occupations,28930
Chefs and Head Cooks,51400
First-Line Supervisors of Food Preparation and Serving Workers,37230
"Cooks, Fast Food",25330
"Cooks, Institution and Cafeteria",35680
"Cooks, Private Household",40080
"Cooks, Restaurant",30620
"Cooks, Short Order",28530
"Cooks, All Other",33910
Food Preparation Workers,27910
Bartenders,30850
"Combined Food Preparation and Serving Workers, Including Fast Food",26080
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",28120
Waiters and Waitresses,30250
